State,District,Year,Crop,Area,Production,Yield,Annual_Rainfall
Andaman and Nicobar Islands,NICOBAR,2012,Banana,241.0,2034.0,8.439834024896266,5815.4
Andaman and Nicobar Islands,NICOBAR,2012,Coconut,14650.0,89800000.0,6129.6928327645055,5815.4
Andaman and Nicobar Islands,NICOBAR,2012,Tapioca,61.0,523.0,8.573770491803279,5815.4
Andaman and Nicobar Islands,NICOBAR,2013,Banana,170.0,1300.5,7.65,6011.0
Andaman and Nicobar Islands,NICOBAR,2013,Coconut,14655.0,96200000.0,6564.31252132378,6011.0
Andaman and Nicobar Islands,NICOBAR,2013,Tapioca,22.0,195.3,8.877272727272727,6011.0
Andaman and Nicobar Islands,NICOBAR,2014,Banana,170.5,1570.0,9.208211143695015,1504.2
Andaman and Nicobar Islands,NICOBAR,2014,Coconut,14673.0,95300000.0,6494.922647038778,1504.2
Andaman and Nicobar Islands,NICOBAR,2014,Tapioca,46.0,527.3,11.463043478260868,1504.2
Andaman and Nicobar Islands,NICOBAR,2015,Banana,517.0,1920.0,3.713733075435203,2362.8
Andaman and Nicobar Islands,NICOBAR,2015,Coconut,14676.0,94500000.0,6439.084219133279,2362.8
Andaman and Nicobar Islands,NICOBAR,2015,Tapioca,54.5,745.0,13.669724770642201,2362.8
Andaman and Nicobar Islands,NICOBAR,2016,Banana,679.5,1495.0,2.2001471670345842,5873.0
Andaman and Nicobar Islands,NICOBAR,2016,Coconut,14840.0,96200000.0,6482.4797843665765,5873.0
Andaman and Nicobar Islands,NICOBAR,2016,Tapioca,72.0,297.0,4.125,5873.0
Andaman and Nicobar Islands,NICOBAR,2017,Banana,790.0,46.0,0.05822784810126582,2996.1
Andaman and Nicobar Islands,NICOBAR,2017,Coconut,13695.0,98130000.0,7165.38882803943,2996.1
Andaman and Nicobar Islands,NICOBAR,2017,Tapioca,48.3,416.1,8.614906832298137,2996.1
Andaman and Nicobar Islands,NICOBAR,2018,Banana,803.57,82.78,0.103015294249412,1641.7
Andaman and Nicobar Islands,NICOBAR,2018,Coconut,13728.0,70360000.0,5125.2913752913755,1641.7
Andaman and Nicobar Islands,NICOBAR,2018,Tapioca,45.11,304.42,6.748392817557083,1641.7
Andaman and Nicobar Islands,NICOBAR,2019,Banana,932.38,609.06,0.6532315150475128,2396.1
Andaman and Nicobar Islands,NICOBAR,2019,Coconut,15728.0,89060000.0,5662.512716174974,2396.1
Andaman and Nicobar Islands,NICOBAR,2019,Tapioca,61.11,474.42,7.7633775159548355,2396.1
Andaman and Nicobar Islands,NICOBAR,2020,Banana,409.83,752.97,1.8372739916550767,3853.6
Andaman and Nicobar Islands,NICOBAR,2020,Coconut,13748.0,99859000.0,7263.529240616817,3853.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2010,Banana,657.0,7968.0,12.127853881278538,2080.9
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2010,Coconut,3668.0,12700000.0,3462.3773173391496,2080.9
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2010,Tapioca,186.5,1355.0,7.265415549597855,2080.9
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2011,Banana,682.0,9085.0,13.321114369501466,3626.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2011,Coconut,3668.0,15600000.0,4252.998909487459,3626.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2011,Oilseeds total,71.5,38.5,0.5384615384615384,3626.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2011,Tapioca,181.5,1280.5,7.0550964187327825,3626.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2012,Banana,1055.5,10588.5,10.031738512553293,7638.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2012,Coconut,3675.0,17800000.0,4843.5374149659865,7638.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2012,Oilseeds total,93.4,28.3,0.3029978586723769,7638.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2012,Tapioca,190.0,1446.0,7.610526315789474,7638.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2013,Banana,1343.5,9263.8,6.895273539263118,9166.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2013,Coconut,3685.0,16800000.0,4559.023066485753,9166.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2013,Oilseeds total,39.2,13.31,0.3395408163265306,9166.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2013,Tapioca,184.2,3503.8,19.021715526601522,9166.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2014,Banana,1352.0,10790.0,7.980769230769231,2598.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2014,Coconut,3675.0,17400000.0,4734.693877551021,2598.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2014,Oilseeds total,34.4,13.8,0.40116279069767447,2598.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2014,Tapioca,137.8,2161.9,15.688679245283017,2598.8
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2015,Banana,1178.0,11180.0,9.490662139219015,3070.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2015,Coconut,3675.0,19500000.0,5306.122448979592,3070.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2015,Tapioca,26.5,600.0,22.641509433962263,3070.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2016,Banana,1012.0,5226.0,5.164031620553359,5264.5
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2016,Coconut,3675.0,20000000.0,5442.1768707483,5264.5
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2016,Tapioca,41.0,1010.0,24.634146341463413,5264.5
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2019,Banana,665.12,5904.3,8.87704474380563,6988.0
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2019,Coconut,1532.48,7610000.0,4965.807057840885,6988.0
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2019,Tapioca,29.13,213.58,7.331960178510128,6988.0
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2020,Banana,935.98,7310.0,7.80999594008419,4990.2
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2020,Coconut,1537.38,6560000.0,4266.9997007896545,4990.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2010,Banana,360.0,5517.0,15.325,3110.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2010,Coconut,3540.0,11000000.0,3107.3446327683614,3110.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2010,Tapioca,22.5,220.0,9.777777777777779,3110.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2011,Banana,378.5,5730.0,15.138705416116249,3716.9
Andaman and Nicobar Islands,SOUTH ANDAMAN,2011,Coconut,3542.0,19700000.0,5561.829474872953,3716.9
Andaman and Nicobar Islands,SOUTH ANDAMAN,2011,Oilseeds total,20.0,8.0,0.4,3716.9
Andaman and Nicobar Islands,SOUTH ANDAMAN,2011,Tapioca,19.5,260.0,13.333333333333334,3716.9
Andaman and Nicobar Islands,SOUTH ANDAMAN,2012,Banana,378.5,5727.5,15.132100396301189,6492.5
Andaman and Nicobar Islands,SOUTH ANDAMAN,2012,Coconut,3550.0,17500000.0,4929.577464788732,6492.5
Andaman and Nicobar Islands,SOUTH ANDAMAN,2012,Oilseeds total,15.4,23.6,1.5324675324675325,6492.5
Andaman and Nicobar Islands,SOUTH ANDAMAN,2012,Tapioca,19.0,151.0,7.947368421052632,6492.5
Andaman and Nicobar Islands,SOUTH ANDAMAN,2013,Banana,304.0,3478.0,11.44078947368421,6237.4
Andaman and Nicobar Islands,SOUTH ANDAMAN,2013,Coconut,3560.0,16000000.0,4494.38202247191,6237.4
Andaman and Nicobar Islands,SOUTH ANDAMAN,2013,Oilseeds total,1.2,0.92,0.7666666666666667,6237.4
Andaman and Nicobar Islands,SOUTH ANDAMAN,2013,Tapioca,33.0,547.5,16.59090909090909,6237.4
Andaman and Nicobar Islands,SOUTH ANDAMAN,2014,Banana,318.5,3602.0,11.309262166405023,4935.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2014,Coconut,3562.0,17100000.0,4800.6737787759685,4935.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2014,Oilseeds total,1.6,1.2,0.7499999999999999,4935.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2014,Tapioca,28.5,575.8,20.203508771929823,4935.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2015,Banana,320.0,4550.0,14.21875,6037.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2015,Coconut,3564.0,17600000.0,4938.271604938272,6037.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2015,Tapioca,26.5,725.0,27.358490566037737,6037.2
Andaman and Nicobar Islands,SOUTH ANDAMAN,2016,Banana,444.6,6623.3,14.897210976158345,6316.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2016,Coconut,3564.0,16800000.0,4713.804713804714,6316.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2016,Tapioca,20.0,762.0,38.1,6316.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2017,Banana,440.0,8622.4,19.596363636363634,2299.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2017,Coconut,1232.5,16560000.0,13436.105476673429,2299.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2017,Tapioca,24.0,245.4,10.225,2299.1
Andaman and Nicobar Islands,SOUTH ANDAMAN,2018,Banana,448.0,9607.9,21.446205357142855,1236.7
Andaman and Nicobar Islands,SOUTH ANDAMAN,2018,Coconut,2895.0,16330000.0,5640.759930915371,1236.7
Andaman and Nicobar Islands,SOUTH ANDAMAN,2018,Tapioca,12.49,637.31,51.02562049639711,1236.7
Andaman and Nicobar Islands,SOUTH ANDAMAN,2019,Banana,438.7,9602.06,21.887531342603147,2351.3
Andaman and Nicobar Islands,SOUTH ANDAMAN,2019,Coconut,2810.0,15880000.0,5651.245551601423,2351.3
Andaman and Nicobar Islands,SOUTH ANDAMAN,2019,Tapioca,12.24,473.05,38.64787581699346,2351.3
Andaman and Nicobar Islands,SOUTH ANDAMAN,2020,Banana,410.24,8260.3,20.135286661466456,4236.0
Andaman and Nicobar Islands,SOUTH ANDAMAN,2020,Coconut,2810.0,18950000.0,6743.772241992882,4236.0
Andhra Pradesh,ANATAPUR,2010,Arecanut,409.0,182.0,0.4449877750611247,720.5
Andhra Pradesh,ANATAPUR,2010,Banana,12251.0,391102.0,31.924087829564932,720.5
Andhra Pradesh,ANATAPUR,2010,Cashewnut,16477.0,3948.0,0.2396067245250956,720.5
Andhra Pradesh,ANATAPUR,2010,Coconut,2695.0,29499000.0,10945.82560296846,720.5
Andhra Pradesh,ANATAPUR,2010,Coriander,5323.0,3604.0,0.6770618072515499,720.5
Andhra Pradesh,ANATAPUR,2010,Ginger,28.0,261.0,9.321428571428571,720.5
Andhra Pradesh,ANATAPUR,2010,Potato,23.0,258.0,11.217391304347826,720.5
Andhra Pradesh,ANATAPUR,2010,Sugarcane,15443.0,993555.0,64.33691640225345,720.5
Andhra Pradesh,ANATAPUR,2010,Sunflower,17738.0,14225.0,0.8019506144999436,720.5
Andhra Pradesh,ANATAPUR,2010,Sweet potato,39.0,499.0,12.794871794871796,720.5
Andhra Pradesh,ANATAPUR,2010,Tapioca,16.0,105.0,6.5625,720.5
Andhra Pradesh,ANATAPUR,2010,Tobacco,1174.0,3246.0,2.7649063032367973,720.5
Andhra Pradesh,ANATAPUR,2010,Turmeric,237.0,1470.0,6.2025316455696204,720.5
Andhra Pradesh,ANATAPUR,2011,Arecanut,542.0,267.0,0.492619926199262,1003.1
Andhra Pradesh,ANATAPUR,2011,Banana,15433.0,638821.0,41.39318343808721,1003.1
Andhra Pradesh,ANATAPUR,2011,Cashewnut,16430.0,4034.0,0.2455264759586123,1003.1
Andhra Pradesh,ANATAPUR,2011,Coconut,3584.0,44822408.0,12506.252232142857,1003.1
Andhra Pradesh,ANATAPUR,2011,Coriander,2399.0,1327.0,0.5531471446436015,1003.1
Andhra Pradesh,ANATAPUR,2011,Ginger,5.0,46.0,9.2,1003.1
Andhra Pradesh,ANATAPUR,2011,Potato,18.0,181.0,10.055555555555555,1003.1
Andhra Pradesh,ANATAPUR,2011,Sugarcane,16595.0,1095863.0,66.03573365471527,1003.1
Andhra Pradesh,ANATAPUR,2011,Sunflower,13340.0,12159.0,0.9114692653673163,1003.1
Andhra Pradesh,ANATAPUR,2011,Sweet potato,28.0,360.0,12.857142857142858,1003.1
Andhra Pradesh,ANATAPUR,2011,Tapioca,12.0,120.0,10.0,1003.1
Andhra Pradesh,ANATAPUR,2011,Tobacco,1484.0,2685.0,1.809299191374663,1003.1
Andhra Pradesh,ANATAPUR,2011,Turmeric,524.0,4169.0,7.956106870229007,1003.1
Andhra Pradesh,ANATAPUR,2012,Coconut,3195.0,49123000.0,15374.960876369327,521.7
Andhra Pradesh,ANATAPUR,2012,Sugarcane,16000.0,997000.0,62.3125,521.7
Andhra Pradesh,ANATAPUR,2012,Tobacco,1000.0,3000.0,3.0,521.7
Andhra Pradesh,ANATAPUR,2013,Banana,15785.0,561248.0,35.555780804561294,550.5
Andhra Pradesh,ANATAPUR,2013,Coconut,3182.0,47561000.0,14946.888749214331,550.5
Andhra Pradesh,ANATAPUR,2013,Sannhamp,106.0,0.0,0.0,550.5
Andhra Pradesh,ANATAPUR,2013,Sugarcane,17175.0,1088615.0,63.383697234352255,550.5
Andhra Pradesh,ANATAPUR,2014,Banana,15421.0,485768.0,31.500421503145063,637.2
Andhra Pradesh,ANATAPUR,2014,Coconut,3221.0,33500000.0,10400.496740142813,637.2
Andhra Pradesh,ANATAPUR,2014,Sugarcane,14493.0,877801.0,60.56723935693093,637.2
Andhra Pradesh,ANATAPUR,2015,Banana,16018.0,675102.0,42.14646023223873,608.3
Andhra Pradesh,ANATAPUR,2015,Coconut,3492.0,33530000.0,9601.947308132874,608.3
Andhra Pradesh,ANATAPUR,2015,Sugarcane,13769.0,891059.0,64.71486672961,608.3
Andhra Pradesh,ANATAPUR,2016,Banana,15488.0,661789.0,42.7291451446281,402.5
Andhra Pradesh,ANATAPUR,2016,Coconut,3217.0,44400000.0,13801.678582530309,402.5
Andhra Pradesh,ANATAPUR,2016,Sugarcane,13367.0,896163.0,67.04294157252936,402.5
Andhra Pradesh,ANATAPUR,2017,Banana,13976.0,1155468.0,82.67515741270749,703.7
Andhra Pradesh,ANATAPUR,2017,Coconut,3469.0,43600000.0,12568.4635341597,703.7
Andhra Pradesh,ANATAPUR,2017,Sugarcane,12567.0,815232.0,64.87085223203628,703.7
Andhra Pradesh,ANATAPUR,2018,Banana,15720.0,1602840.0,101.9618320610687,353.4999999999999
Andhra Pradesh,ANATAPUR,2018,Coconut,3361.0,48700000.0,14489.73519785778,353.4999999999999
Andhra Pradesh,ANATAPUR,2019,Banana,20916.0,1254960.0,60.0,726.4
Andhra Pradesh,ANATAPUR,2019,Black pepper,5.0,5.0,1.0,726.4
Andhra Pradesh,ANATAPUR,2019,Coconut,3217.0,46614000.0,14489.897419956482,726.4
Andhra Pradesh,ANATAPUR,2020,Coconut,3558.0,51445000.0,14458.965711073637,778.2
Andhra Pradesh,CHITTOOR,2010,Banana,923.0,46782.0,50.684723726977246,1298.4
Andhra Pradesh,CHITTOOR,2010,Cashewnut,100.0,24.0,0.24,1298.4
Andhra Pradesh,CHITTOOR,2010,Coconut,3837.0,33444000.0,8716.18451915559,1298.4
Andhra Pradesh,CHITTOOR,2010,Coriander,113.0,77.0,0.6814159292035398,1298.4
Andhra Pradesh,CHITTOOR,2010,Potato,1138.0,10817.0,9.505272407732864,1298.4
Andhra Pradesh,CHITTOOR,2010,Sugarcane,27719.0,2311342.0,83.38475413975974,1298.4
Andhra Pradesh,CHITTOOR,2010,Sunflower,1048.0,578.0,0.5515267175572519,1298.4
Andhra Pradesh,CHITTOOR,2010,Sweet potato,239.0,3062.0,12.811715481171548,1298.4
Andhra Pradesh,CHITTOOR,2010,Tapioca,15.0,99.0,6.6,1298.4
Andhra Pradesh,CHITTOOR,2010,Tobacco,130.0,229.0,1.7615384615384615,1298.4
Andhra Pradesh,CHITTOOR,2010,Turmeric,47.0,369.0,7.851063829787234,1298.4
Andhra Pradesh,CHITTOOR,2011,Banana,886.0,55948.0,63.146726862302486,1080.5
Andhra Pradesh,CHITTOOR,2011,Cashewnut,76.0,19.0,0.25,1080.5
Andhra Pradesh,CHITTOOR,2011,Coconut,3663.0,29376960.0,8019.9180999181,1080.5
Andhra Pradesh,CHITTOOR,2011,Coriander,74.0,43.0,0.581081081081081,1080.5
Andhra Pradesh,CHITTOOR,2011,Potato,1151.0,15206.0,13.211120764552563,1080.5
Andhra Pradesh,CHITTOOR,2011,Sugarcane,28405.0,2577106.0,90.72719591621194,1080.5
Andhra Pradesh,CHITTOOR,2011,Sunflower,1342.0,927.0,0.6907600596125186,1080.5
Andhra Pradesh,CHITTOOR,2011,Sweet potato,288.0,3490.0,12.118055555555555,1080.5
Andhra Pradesh,CHITTOOR,2011,Tapioca,10.0,100.0,10.0,1080.5
Andhra Pradesh,CHITTOOR,2011,Tobacco,51.0,82.0,1.607843137254902,1080.5
Andhra Pradesh,CHITTOOR,2011,Turmeric,31.0,255.0,8.225806451612904,1080.5
Andhra Pradesh,CHITTOOR,2012,Coconut,3351.0,28899000.0,8623.992837958818,1130.5
Andhra Pradesh,CHITTOOR,2012,Sugarcane,28000.0,2492000.0,89.0,1130.5
Andhra Pradesh,CHITTOOR,2013,Banana,910.0,50203.0,55.168131868131866,1529.2
Andhra Pradesh,CHITTOOR,2013,Coconut,2760.0,19847000.0,7190.942028985507,1529.2
Andhra Pradesh,CHITTOOR,2013,Sugarcane,28152.0,2562925.0,91.03882495026997,1529.2
Andhra Pradesh,CHITTOOR,2015,Banana,839.0,54301.0,64.72109654350417,3443.4
Andhra Pradesh,CHITTOOR,2015,Coconut,3465.0,46800000.0,13506.493506493507,3443.4
Andhra Pradesh,CHITTOOR,2015,Sugarcane,20831.0,1682300.0,80.75944505784648,3443.4
Andhra Pradesh,CHITTOOR,2016,Banana,720.0,50139.0,69.6375,1248.5
Andhra Pradesh,CHITTOOR,2016,Coconut,3465.0,47800000.0,13795.093795093795,1248.5
Andhra Pradesh,CHITTOOR,2016,Sugarcane,18214.0,1599699.0,87.82798945865818,1248.5
Andhra Pradesh,CHITTOOR,2017,Banana,684.0,136380.0,199.3859649122807,3540.7
Andhra Pradesh,CHITTOOR,2017,Coconut,2752.0,38700000.0,14062.5,3540.7
Andhra Pradesh,CHITTOOR,2017,Sugarcane,18177.0,1737420.0,95.58342960884634,3540.7
Andhra Pradesh,CHITTOOR,2018,Banana,568.0,143040.0,251.83098591549296,1064.9
Andhra Pradesh,CHITTOOR,2018,Coconut,2501.0,45500000.0,18192.722910835666,1064.9
Andhra Pradesh,CHITTOOR,2019,Banana,2384.0,143040.0,60.0,2669.8
Andhra Pradesh,CHITTOOR,2019,Coconut,2360.0,21606000.0,9155.084745762711,2669.8
Andhra Pradesh,CHITTOOR,2020,Coconut,1996.0,26698000.0,13375.751503006011,7579.7
Andhra Pradesh,EAST GODAVARI,2010,Banana,14357.0,392291.0,27.324023124608207,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Cashewnut,34581.0,6120.0,0.1769757959573176,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Coconut,50789.0,603358000.0,11879.698359881077,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Sugarcane,13051.0,1086471.0,83.24810359359437,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Sunflower,359.0,446.0,1.2423398328690807,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Sweet potato,49.0,627.0,12.795918367346939,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Tapioca,12391.0,82090.0,6.624969736098781,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Tobacco,4804.0,11761.0,2.4481681931723562,3024.2
Andhra Pradesh,EAST GODAVARI,2010,Turmeric,339.0,2070.0,6.106194690265487,3024.2
Andhra Pradesh,EAST GODAVARI,2011,Arecanut,20.0,8.0,0.4,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Banana,13620.0,302514.0,22.21101321585903,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Cashewnut,33233.0,6329.0,0.1904432341347456,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Coconut,50741.0,719961050.0,14188.94089592243,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Sugarcane,12618.0,1069560.0,84.76462196861627,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Sunflower,344.0,365.0,1.061046511627907,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Sweet potato,35.0,450.0,12.857142857142858,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Tapioca,12439.0,124228.0,9.986976445051853,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Tobacco,4538.0,12728.0,2.8047598060819743,1715.4
Andhra Pradesh,EAST GODAVARI,2011,Turmeric,296.0,2222.0,7.506756756756757,1715.4
Andhra Pradesh,EAST GODAVARI,2012,Coconut,49516.0,729965000.0,14742.002585023023,2711.0
Andhra Pradesh,EAST GODAVARI,2012,Sugarcane,14000.0,1111000.0,79.35714285714286,2711.0
Andhra Pradesh,EAST GODAVARI,2012,Tobacco,5000.0,15000.0,3.0,2711.0
Andhra Pradesh,EAST GODAVARI,2013,Banana,12427.0,153871.0,12.38199082642633,2365.1
Andhra Pradesh,EAST GODAVARI,2013,Coconut,49114.0,720895000.0,14677.994054648369,2365.1
Andhra Pradesh,EAST GODAVARI,2013,Sannhamp,175.0,0.0,0.0,2365.1
Andhra Pradesh,EAST GODAVARI,2013,Sugarcane,13857.0,1165341.0,84.09764018185754,2365.1
Andhra Pradesh,EAST GODAVARI,2014,Banana,13400.0,234889.0,17.52902985074627,1603.9
Andhra Pradesh,EAST GODAVARI,2014,Coconut,46865.0,715300000.0,15262.989437746719,1603.9
Andhra Pradesh,EAST GODAVARI,2014,Sugarcane,12405.0,1056420.0,85.1608222490931,1603.9
Andhra Pradesh,EAST GODAVARI,2015,Banana,13280.0,305918.0,23.035993975903615,2025.1
Andhra Pradesh,EAST GODAVARI,2015,Coconut,50490.0,737154000.0,14600.0,2025.1
Andhra Pradesh,EAST GODAVARI,2015,Sugarcane,11647.0,1037710.0,89.09676311496523,2025.1
Andhra Pradesh,EAST GODAVARI,2016,Banana,12961.0,267930.0,20.67201604814443,1888.1
Andhra Pradesh,EAST GODAVARI,2016,Coconut,50501.0,696900000.0,13799.726738084395,1888.1
Andhra Pradesh,EAST GODAVARI,2016,Sugarcane,10515.0,943395.0,89.71897289586305,1888.1
Andhra Pradesh,EAST GODAVARI,2017,Banana,12129.0,933319.0,76.94937752494023,875.1
Andhra Pradesh,EAST GODAVARI,2017,Coconut,50473.0,737300000.0,14607.810116299805,875.1
Andhra Pradesh,EAST GODAVARI,2017,Sugarcane,10320.0,912540.0,88.42441860465117,875.1
Andhra Pradesh,EAST GODAVARI,2018,Banana,11844.0,958380.0,80.91691995947315,1357.0
Andhra Pradesh,EAST GODAVARI,2018,Coconut,50538.0,766300000.0,15162.847758122602,1357.0
Andhra Pradesh,EAST GODAVARI,2019,Banana,15769.0,946140.0,60.0,1940.0
Andhra Pradesh,EAST GODAVARI,2019,Coconut,50535.0,898057000.0,17770.990402691205,1940.0
Andhra Pradesh,EAST GODAVARI,2020,Coconut,50254.0,914623000.0,18200.003979782705,2532.3
Andhra Pradesh,GUNTUR,2010,Banana,5045.0,151597.0,30.048959365708622,1028.4
Andhra Pradesh,GUNTUR,2010,Cashewnut,162.0,39.0,0.24074074074074073,1028.4
Andhra Pradesh,GUNTUR,2010,Coconut,142.0,1680000.0,11830.985915492958,1028.4
Andhra Pradesh,GUNTUR,2010,Coriander,25.0,17.0,0.68,1028.4
Andhra Pradesh,GUNTUR,2010,Sugarcane,908.0,77430.0,85.27533039647577,1028.4
Andhra Pradesh,GUNTUR,2010,Sunflower,24.0,30.0,1.25,1028.4
Andhra Pradesh,GUNTUR,2010,Sweet potato,14.0,179.0,12.785714285714286,1028.4
Andhra Pradesh,GUNTUR,2010,Tobacco,4116.0,10729.0,2.6066569484936832,1028.4
Andhra Pradesh,GUNTUR,2010,Turmeric,5413.0,35027.0,6.4709033807500465,1028.4
Andhra Pradesh,GUNTUR,2011,Banana,5595.0,216308.0,38.6609472743521,1020.8
Andhra Pradesh,GUNTUR,2011,Cashewnut,162.0,42.0,0.25925925925925924,1020.8
Andhra Pradesh,GUNTUR,2011,Coconut,125.0,1757728.0,14061.824,1020.8
Andhra Pradesh,GUNTUR,2011,Sugarcane,967.0,100572.0,104.00413650465357,1020.8
Andhra Pradesh,GUNTUR,2011,Sunflower,1.0,1.0,1.0,1020.8
Andhra Pradesh,GUNTUR,2011,Sweet potato,21.0,270.0,12.857142857142858,1020.8
Andhra Pradesh,GUNTUR,2011,Tobacco,4487.0,14803.0,3.2990862491642523,1020.8
Andhra Pradesh,GUNTUR,2011,Turmeric,5593.0,43737.0,7.819953513320222,1020.8
Andhra Pradesh,GUNTUR,2012,Coconut,118.0,2016000.0,17084.745762711864,965.6
Andhra Pradesh,GUNTUR,2012,Tobacco,6000.0,20000.0,3.3333333333333335,965.6
Andhra Pradesh,GUNTUR,2013,Banana,5574.0,211734.0,37.98600645855759,2381.6
Andhra Pradesh,GUNTUR,2013,Coconut,111.0,1840000.0,16576.576576576575,2381.6
Andhra Pradesh,GUNTUR,2013,Sannhamp,2594.0,0.0,0.0,2381.6
Andhra Pradesh,GUNTUR,2013,Sugarcane,420.0,43200.0,102.85714285714286,2381.6
Andhra Pradesh,GUNTUR,2016,Banana,3337.0,123943.0,37.14204375187294,1102.4
Andhra Pradesh,GUNTUR,2016,Coconut,159.0,2200000.0,13836.477987421384,1102.4
Andhra Pradesh,GUNTUR,2016,Sugarcane,267.0,28341.0,106.14606741573034,1102.4
Andhra Pradesh,GUNTUR,2017,Banana,3175.0,288300.0,90.80314960629921,1231.5
Andhra Pradesh,GUNTUR,2017,Coconut,110.0,1100000.0,10000.0,1231.5
Andhra Pradesh,GUNTUR,2017,Sugarcane,226.0,24090.0,106.59292035398231,1231.5
Andhra Pradesh,GUNTUR,2018,Banana,3442.0,305700.0,88.81464264962231,630.3
Andhra Pradesh,GUNTUR,2018,Coconut,99.0,1600000.0,16161.61616161616,630.3
Andhra Pradesh,GUNTUR,2019,Banana,4996.0,299760.0,60.0,746.9
Andhra Pradesh,GUNTUR,2019,Coconut,97.0,1785000.0,18402.061855670105,746.9
Andhra Pradesh,GUNTUR,2020,Coconut,95.0,1663000.0,17505.263157894737,1545.1
Andhra Pradesh,KADDAPA,2013,Banana,8438.0,497926.0,59.009954965631664,142.2
Andhra Pradesh,KADDAPA,2013,Coconut,90.0,647000.0,7188.888888888889,142.2
Andhra Pradesh,KADDAPA,2013,Sugarcane,550.0,35420.0,64.4,142.2
Andhra Pradesh,KADDAPA,2016,Banana,7624.0,569368.0,74.68100734522561,279.8
Andhra Pradesh,KADDAPA,2016,Coconut,120.0,1700000.0,14166.666666666666,279.8
Andhra Pradesh,KADDAPA,2016,Sugarcane,245.0,19005.0,77.57142857142857,279.8
Andhra Pradesh,KADDAPA,2017,Banana,9479.0,1572199.0,165.86127228610613,578.1
Andhra Pradesh,KADDAPA,2017,Coconut,117.0,1000000.0,8547.008547008547,578.1
